Treatment,Days,Species,Root.length,Shoot.length,Root.length.SE,Shoot.length.SE
24h in 6C,R,M82 ,1,1,0,0
24h in 6C,R,pen,1,1,0,0
24h in 6C,0,M82 ,1.056333651,1.059799278,0.010595806,0.022681907
24h in 6C,0,pen,1.105223147,1.040568721,0.022881225,0.013982464
24h in 6C,1,M82 ,1.380127479,1.224929215,0.028934411,0.043480278
24h in 6C,1,pen,1.357276064,1.093765324,0.047483428,0.025389124
24h in 6C,2,M82 ,1.838786794,1.511943233,0.072518294,0.05624857
24h in 6C,2,pen,1.786960447,1.152155796,0.081091868,0.037901573
24h in 6C,3,M82 ,2.264747725,1.775641603,0.119895391,0.082941511
24h in 6C,3,pen,2.219644273,1.229342085,0.112333396,0.045139582
72h in 6C,R,M82 ,1,1,0,0
72h in 6C,R,pen,1,1,0,0
72h in 6C,0,M82 ,1.08326129,1.100277954,0.007635594,0.024722097
72h in 6C,0,pen,1.156618076,1.170645464,0.024600831,0.039188228
72h in 6C,1,M82 ,1.215068626,1.235938702,0.020098983,0.025679405
72h in 6C,1,pen,1.230816016,1.391473988,0.0363127,0.13145701
72h in 6C,2,M82 ,1.445733437,1.431643909,0.049856706,0.053298731
72h in 6C,2,pen,1.44071894,1.345282175,0.084905664,0.085544269
72h in 6C,3,M82 ,1.769317155,1.627300679,0.088991623,0.054598731
72h in 6C,3,pen,1.740726014,1.465549387,0.145358877,0.093479825
120h in 6C,R,M82 ,1,1,0,0
120h in 6C,R,pen,1,1,0,0
120h in 6C,0,M82 ,1.059133636,1.114791458,0.008032927,0.029688403
120h in 6C,0,pen,1.116433065,1.212071496,0.031312313,0.028589664
120h in 6C,1,M82 ,1.078998581,1.182653513,0.00960252,0.032025415
120h in 6C,1,pen,1.127480662,1.23384099,0.038001026,0.041093269
120h in 6C,2,M82 ,1.104894138,1.254621143,0.033216713,0.02889977
120h in 6C,2,pen,1.169566849,1.24196328,0.059890934,0.044943821
120h in 6C,3,M82 ,1.177669324,1.336111366,0.085564496,0.034256191
120h in 6C,3,pen,1.238849843,1.218564017,0.109378424,0.041285827
